"loc_id","loc_name","loc_nickname","address1","address2","city","state","zip","county_fips","geofips_tract","geofips_bg","pt_latitude","pt_longitude","crh_zone_name","crh_zone_id"
"1","Luther Social Services ChoicePantry - South Columbus","LSS Champion","1460 S CHAMPION AVE","","COLUMBUS","OH","43206","39049","39049005900","390490059003","39.93499292","-82.97110406","SSTC","4"
"2","Luther Social Services ChoicePantry - West Columbus","LSS West","82 N WILSON RD","","COLUMBUS","OH","43204","39049","39049008210","390490082102","39.95535396","-83.09418329","Hilltop","3"
"3","Luther Social Services ChoicePantry - Caldwell OH","LSS Caldwell","315 MAIN ST","","CALDWELL","OH","43724","39121","39121968400","391219684003","39.74678237","-81.51515905","",""
"4","Luther Social Services ChoicePantry - Fairfield Co.","LSS Lancaster","2045 E MAIN ST","","LANCASTER","OH","43130","39045","39045031300","390450313001","39.71601077","-82.55344969","",""
"6","Mid-Ohio Foodbank - Kroger Community Pantry","MOF Kroger Pantry","3960 BROOKHAM DR","","GROVE CITY","OH","43123","39049","39049009720","390490097204","39.88623520","-83.05538713","Grove City","9"
"7","Grove City Food Pantry and Emergency Services","Grove City Pantry","2710 COLUMBUS ST","","GROVE CITY","OH","43123","39049","39049009711","390490097112","39.88141144","-83.07530178","Grove City","9"
"8","Gladden Food Pantry","Gladden Pantry","318 S GLENWOOD AVE","","COLUMBUS","OH","43223","39049","39049005000","390490050002","39.95210397","-83.02903567","Franklinton","6"
"10","Southside Community Ministries Pantry","Southside Comm Min Pantry","225 E GATES ST","","COLUMBUS","OH","43206","39049","39049005810","390490058103","39.93738789","-82.98953659","German Villiage","31"
"11","Brice UMC Food Pantry","Far East Feeding Ministry","3160 Brice Road","","BRICE","OH","43109","39049","39049009374","390490093742","39.91374500","-82.83250762","Refugee Road","15"
"18","PCMA Food Pantry of Pickerington","PCMA Food Pantry of Pickerington","70 CROSS ST","","PICKERINGTON","OH","43147","39045","39045030600","390450306002","39.88586833","-82.75580366","",""
